size,layout_id,initial_distance,scenario_id,hidden_cost_type,hidden_cost_style,base_grid,hidden_cost,goals,goal,observer_pos,target_pos,observer_dir,target_dir,all_actions,trajectory_length,eval_success,eval_convergence_step,eval_execution_time,visibility_ratio,visibility_changes,visible_steps,total_trajectory_steps,visibility_history,final_confidence,max_confidence_reached,cache_hit_rate,cache_hits,cache_misses,cache_size
10,0,3,0,0,like_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 1.0, 10.0, 1.0, 1.0, 10.0], [10.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.19417500495910645,0.0,0.0,0.0,12.0,"[False, False, False, False, False, False, False, False, False, False, False, False]",0.33672811138968667,0.34342880507462764,0.0,0.0,0.0,0.0
10,0,3,0,1,hate_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 0.5, 0.5, 10.0], [10.0, 0.5, 10.0, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.17203593254089355,0.0,0.0,0.0,12.0,"[False, False, False, False, False, False, False, False, False, False, False, False]",0.33672811138968667,0.34342880507462764,0.0,0.0,0.0,0.0
10,0,3,0,2,like_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 2.0, 2.0, 2.0, 10.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 4.0, 4.0, 3.0, 2.0, 10.0, 10.0], [10.0, 10.0, 2.0, 3.0, 4.0, 4.0, 10.0, 2.0, 1.0, 10.0], [10.0, 1.0, 10.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.17431092262268066,0.0,0.0,0.0,12.0,"[False, False, False, False, False, False, False, False, False, False, False, False]",0.33672811138968667,0.34342880507462764,0.0,0.0,0.0,0.0
10,0,3,0,3,hate_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.2, 0.25, 0.3333333333333333, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.25, 0.2, 0.2, 10.0, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 10.0, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.1718754768371582,0.0,0.0,0.0,12.0,"[False, False, False, False, False, False, False, False, False, False, False, False]",0.33672811138968667,0.34342880507462764,0.0,0.0,0.0,0.0
10,0,3,1,0,like_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 1.0, 10.0, 1.0, 1.0, 10.0], [10.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 0, 2, 2, 2, 1, 2, 0, 2, 1, 2, 2, 2]",14,False,-1.0,0.24805045127868652,0.0,0.0,0.0,14.0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0.3342091539654693,0.33421073114033084,0.0,0.0,0.0,0.0
10,0,3,1,1,hate_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 0.5, 0.5, 10.0], [10.0, 0.5, 10.0, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 2, 2, 0, 2, 2, 1, 2, 2, 0, 2, 2]",13,False,-1.0,0.22422075271606445,0.0,0.0,0.0,13.0,"[False, False, False, False, False, False, False, False, False, False, False, False, False]",0.3342029077817259,0.33421073114033084,0.0,0.0,0.0,0.0
10,0,3,1,2,like_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 2.0, 2.0, 2.0, 10.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 4.0, 4.0, 3.0, 2.0, 10.0, 10.0], [10.0, 10.0, 2.0, 3.0, 4.0, 4.0, 10.0, 2.0, 1.0, 10.0], [10.0, 1.0, 10.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 0, 2, 2, 2, 1, 2, 0, 2, 1, 2, 2, 2]",14,False,-1.0,0.25562572479248047,0.0,0.0,0.0,14.0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0.3342091539654693,0.33421073114033084,0.0,0.0,0.0,0.0
10,0,3,1,3,hate_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.2, 0.25, 0.3333333333333333, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.25, 0.2, 0.2, 10.0, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 10.0, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 2, 2, 0, 2, 2, 1, 2, 2, 0, 2, 2]",13,False,-1.0,0.23020648956298828,0.0,0.0,0.0,13.0,"[False, False, False, False, False, False, False, False, False, False, False, False, False]",0.3342029077817259,0.33421073114033084,0.0,0.0,0.0,0.0
10,0,3,2,0,like_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 1.0, 10.0, 1.0, 1.0, 10.0], [10.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(5), np.int64(5)), (np.int64(7), np.int64(5)), (np.int64(4), np.int64(3))]","(np.int64(4), np.int64(3))","(np.int64(5), np.int64(6))","(np.int64(8), np.int64(6))",0,0,"[0, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2]",11,False,-1.0,0.007487773895263672,1.0,0.0,11.0,11.0,"[True, True, True, True, True, True, True, True, True, True, True]",0.5,0.5,0.0,0.0,0.0,0.0
10,0,3,2,1,hate_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 0.5, 0.5, 10.0], [10.0, 0.5, 10.0, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(5), np.int64(5)), (np.int64(7), np.int64(5)), (np.int64(4), np.int64(3))]","(np.int64(4), np.int64(3))","(np.int64(5), np.int64(6))","(np.int64(8), np.int64(6))",0,0,"[0, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2]",11,False,-1.0,0.007928609848022461,1.0,0.0,11.0,11.0,"[True, True, True, True, True, True, True, True, True, True, True]",0.5,0.5,0.0,0.0,0.0,0.0
